user_id,gender,followee_count,followers_count,location,birthday,registry_time,certification,credit,constellation,comment_count,repost_count,like_count,post_count
61ec796521bab2dcde2c9caeccbaf13d,1,203.0,36,37,Unknown,Unknown,Unknown,2,1,Unknown,Unknown,Unknown,Unknown
00cce65168ea7235542307ab6b2e6e2e,1,5091.0,428,37,Unknown,Unknown,Unknown,2,1,Unknown,Unknown,Unknown,Unknown
fd8203b2fc5d5ef7a38d927b19e30ae1,1,311.0,15,37,Unknown,Unknown,Unknown,2,1,Unknown,Unknown,Unknown,Unknown
94b22d6c26fa16ffa02be36f12f48ecf,1,3384.0,9824,37,Unknown,Unknown,Unknown,2,1,Unknown,Unknown,Unknown,Unknown
44aecb5b2045bde3f4fee847423faf38,1,5288.0,489,37,Unknown,Unknown,Unknown,2,1,Unknown,Unknown,Unknown,Unknown
11a8cdf7c3c71c5e8421ad5d948b90c6,1,547.0,3,37,Unknown,Unknown,Unknown,2,1,Unknown,Unknown,Unknown,Unknown
0b085c43cef33fb360288537544f2fd8,1,1476.0,2.39亿,37,Unknown,Unknown,Unknown,2,1,Unknown,Unknown,Unknown,Unknown
c522dd10bd4910a7e8a86608c24117c2,1,318.0,129,37,Unknown,Unknown,Unknown,2,1,Unknown,Unknown,Unknown,Unknown
519975473b249ea7eb9780937bb4b4b6,1,319.0,610,37,Unknown,Unknown,Unknown,2,1,Unknown,Unknown,Unknown,Unknown
165bbcf49481752f84b4feab7dc1376c,1,709.0,434,37,Unknown,Unknown,Unknown,2,1,Unknown,Unknown,Unknown,Unknown
5f633c640e1957c523f07f0d9e38d159,1,283.0,182,37,Unknown,Unknown,Unknown,2,1,Unknown,Unknown,Unknown,Unknown
f6c5f4fafa4f63908dad117c0e866531,1,2294.0,45,37,Unknown,Unknown,Unknown,2,1,Unknown,Unknown,Unknown,Unknown
8a1dd39401cea6ce22d8292a63a90d57,1,266.0,812,37,Unknown,Unknown,Unknown,2,1,Unknown,Unknown,Unknown,Unknown
e320e3531bc7b93d91738407e71046b6,1,582.0,8,37,Unknown,Unknown,Unknown,2,1,Unknown,Unknown,Unknown,Unknown
915fab07c0c531e053adf4fb1e23e2f9,1,151.0,7423,37,Unknown,Unknown,Unknown,2,1,Unknown,Unknown,Unknown,Unknown
97ec6e3813569fccb9f8a5f67063321f,1,561.0,463,37,Unknown,Unknown,Unknown,2,1,Unknown,Unknown,Unknown,Unknown
0c2c6d4a4217ed64948c078f5616dd95,1,155.0,160,37,Unknown,Unknown,Unknown,2,1,Unknown,Unknown,Unknown,Unknown
46e27e3bbd62075c8d6ce2d19a36fd15,1,189.0,26,37,Unknown,Unknown,Unknown,2,1,Unknown,Unknown,Unknown,Unknown
23edd5914d934eaa55a855c5fc6d64a8,1,257.0,61,37,Unknown,Unknown,Unknown,2,1,Unknown,Unknown,Unknown,Unknown
686466aacceb75c5b5fbc00e02a45e43,1,3405.0,397,37,Unknown,Unknown,Unknown,2,1,Unknown,Unknown,Unknown,Unknown
3a7d78327b7d9b37b7714312a8e6c30c,1,516.0,147,37,Unknown,Unknown,Unknown,2,1,Unknown,Unknown,Unknown,Unknown
ec9360c9468a40bc334afd46af5b553f,1,136.0,79,37,Unknown,Unknown,Unknown,2,1,Unknown,Unknown,Unknown,Unknown
1d3d34e33bb0a6488adf46a737f90471,1,46.0,71,37,Unknown,Unknown,Unknown,2,1,Unknown,Unknown,Unknown,Unknown
bfe433db3478e57f94b05546aec0fbe0,1,262.0,30,37,Unknown,Unknown,Unknown,2,1,Unknown,Unknown,Unknown,Unknown
a65def21a3b2ec2d54de160687947781,1,1247.0,353,37,Unknown,Unknown,Unknown,2,1,Unknown,Unknown,Unknown,Unknown
cc485ffe68a6db7652b76788bf9e03c9,1,765.0,2151,37,Unknown,Unknown,Unknown,2,1,Unknown,Unknown,Unknown,Unknown
e353b15197c810d2835f234870cf3ce2,1,209.0,38,37,Unknown,Unknown,Unknown,2,1,Unknown,Unknown,Unknown,Unknown
25155ac174d2e6879ba73bd7a0801bdb,1,246.0,58,37,Unknown,Unknown,Unknown,2,1,Unknown,Unknown,Unknown,Unknown
3b76017f21b669d6fa87901aebd3b837,1,3190.0,3200,37,Unknown,Unknown,Unknown,2,1,Unknown,Unknown,Unknown,Unknown
fbfec80b36fdb3357ae7cf731c8767c0,1,449.0,337,37,Unknown,Unknown,Unknown,2,1,Unknown,Unknown,Unknown,Unknown
415f00b62b5ca4e9910ebbb627d02f82,1,809.0,72,37,Unknown,Unknown,Unknown,2,1,Unknown,Unknown,Unknown,Unknown
a2bace218f3f2f5be3dc236d87a6eca1,1,2764.0,206,37,Unknown,Unknown,Unknown,2,1,Unknown,Unknown,Unknown,Unknown
8b29e61a7b07a6c904c902561e9d6b83,1,1326.0,71,37,Unknown,Unknown,Unknown,2,1,Unknown,Unknown,Unknown,Unknown
8b07ac698a8c19c430d2f94f88a87479,1,1896.0,7,37,Unknown,Unknown,Unknown,2,1,Unknown,Unknown,Unknown,Unknown
8af9b08f0cb40f495cc5573fc9d531d5,1,375.0,13,37,Unknown,Unknown,Unknown,2,1,Unknown,Unknown,Unknown,Unknown
ace0f95817a8e06fadbf2212033df998,1,347.0,240,37,Unknown,Unknown,Unknown,2,1,Unknown,Unknown,Unknown,Unknown
76b21bc30886db642c9b5d297d539764,1,2069.0,1248,37,Unknown,Unknown,Unknown,2,1,Unknown,Unknown,Unknown,Unknown
d84dbbd3862f32fb77028d065bcacc6f,1,505.0,36,37,Unknown,Unknown,Unknown,2,1,Unknown,Unknown,Unknown,Unknown
b1881edf57ff6026278fa60ce6cbea25,1,847.0,33,37,Unknown,Unknown,Unknown,2,1,Unknown,Unknown,Unknown,Unknown
2784582ededad34c28a9894dae3179e0,1,1105.0,1307,37,Unknown,Unknown,Unknown,2,1,Unknown,Unknown,Unknown,Unknown
f39d36a786bc9e605202b8e049a5fb94,1,1266.0,363,37,Unknown,Unknown,Unknown,2,1,Unknown,Unknown,Unknown,Unknown
c07cb659e9f86dfb82bc0f65eaee0d03,1,2271.0,324,37,Unknown,Unknown,Unknown,2,1,Unknown,Unknown,Unknown,Unknown
0fffcc01911cfbb06cf8d006bd40bdd0,1,2145.0,99,37,Unknown,Unknown,Unknown,2,1,Unknown,Unknown,Unknown,Unknown
99638197b0f9db939eaf58dd54692064,1,1075.0,86,37,Unknown,Unknown,Unknown,2,1,Unknown,Unknown,Unknown,Unknown
a528cd48de31de2087bcbf9f69b92b14,1,652.0,14,37,Unknown,Unknown,Unknown,2,1,Unknown,Unknown,Unknown,Unknown
6fe1aafb374ada851e160f572b776efc,1,861.0,191,37,Unknown,Unknown,Unknown,2,1,Unknown,Unknown,Unknown,Unknown
8e76d2962828c2f3c3ed28cb25b4c35e,1,117.0,156,37,Unknown,Unknown,Unknown,2,1,Unknown,Unknown,Unknown,Unknown
3c5e645e9b06bb36d52315001568ff04,1,222.0,183,37,Unknown,Unknown,Unknown,2,1,Unknown,Unknown,Unknown,Unknown
baffe4c54c20068e0d4399674df4fc80,1,1135.0,267,37,Unknown,Unknown,Unknown,2,1,Unknown,Unknown,Unknown,Unknown
efcfcef83843e297ec99540844b6cdb4,1,428.0,17.9万,37,Unknown,Unknown,Unknown,2,1,Unknown,Unknown,Unknown,Unknown
894084f1ea3b705bf93a220c497f83ca,1,421.0,11,37,Unknown,Unknown,Unknown,2,1,Unknown,Unknown,Unknown,Unknown
4add5f7f2e1049d8081f782e56e6bc85,1,1333.0,169,37,Unknown,Unknown,Unknown,2,1,Unknown,Unknown,Unknown,Unknown
1bc5632caa2a6f2788ab2ea446846306,1,1181.0,146,37,Unknown,Unknown,Unknown,2,1,Unknown,Unknown,Unknown,Unknown
519dfe11efb924ce9bca37230415fcff,1,5162.0,133,37,Unknown,Unknown,Unknown,2,1,Unknown,Unknown,Unknown,Unknown
f6689d307ea42c7aa1222a40568cae02,1,1108.0,290,37,Unknown,Unknown,Unknown,2,1,Unknown,Unknown,Unknown,Unknown
